,pmid,abstract,predictions
191,26810702,Uncertainty appears to enhance the engagement of early phasic and sustained attention for uncertainly cued targets.,0.43027568
199,26829532,"Therefore, the current regional West Africa EVD requires strengthening healthcare systems and building preparedness and response capacity.",0.44324386
200,26829532,EVD has similar effects and burdens to HIV infection.,0.44262573
210,27369069,Anxiety can have both detrimental and facilitatory cognitive effects.,0.46054214
211,27369069,This study investigates the neural substrates of a replicated facilitatory effect of anxiety on sustained attention and response inhibition.,0.4454674
219,27698427,"Unpredictability, in turn, is considered an important variable contributing to anxiety disorders.",0.44753513
220,27698427,The brain circuits underlying behavioral fear have been extensively studied over the last decades.,0.42423505
226,28013055,Worry-relevant sustained attention towards negative emotional stimuli may be a partially mood-context dependent phenomenon.,0.465696
227,28013055,Cognitive theories of anxiety psychopathology cite biased attention towards threat as a central vulnerability and maintaining factor.,0.40176192
233,28485259,BACKGROUND: Panic disorder (PD) patients are constantly concerned about future panic attacks and exhibit general hypersensitivity to unpredictable threat.,0.46176964
234,28485259,Insula and PFC also showed sustained activation.,0.44187659999999995
243,28555565,"Therefore, there is a critical need to understand the neural mechanisms mediating anxiety symptoms.",0.44372959999999995
244,28555565,The IPS plays a key role in attention orienting and may contribute to the hypervigilance that is a common symptom of pathological anxiety.,0.41228363
249,28981839,Sustained anticipatory anxiety is central to Generalized Anxiety Disorder (GAD).,0.4538143
250,28981839,"The results for the BNST activation hint towards its role in sustained threat responding, and contribute to a deeper understanding of pathological sustained anticipatory anxiety in GAD.",0.40275103
258,29980493,"In contrast, losartan reduced amygdala response to happy faces early on.",0.41981098
259,29980493,METHODS: Thirty healthy volunteers high in trait anxiety were randomly assigned to a single dose of losartan (50 mg) versus placebo before undergoing functional magnetic resonance imaging.,0.39882267
267,30144498,Pervasive avoidance behaviour is a core feature of anxiety disorders.,0.44114462
268,30144498,"Furthermore, greater avoidance behaviour predicted larger differential skin conductance responses to threat versus safety cues during extinction.",0.41732520000000006
275,30463809,The results confirm that tDCS of the rIFC attenuates sustained fear.,0.47764847
276,30463809,Post-hoc tests revealed a significant reduction in SCR during sustained fear in verum stimulated group.,0.44957763
285,30878610,Anticipation of potentially threatening social situations is a key process in social anxiety disorder (SAD).,0.45351282
286,30878610,The aversive condition induced increased anxiety in patients compared to HC.,0.40995010000000004
296,30993690,With each new threat comes the call for rapid vaccine development.,0.44117096
297,30993690,"Together with a growing understanding of viral disease emergence, a range of vaccine strategies and international commitment to underpin development, vaccine intervention for new and emerging viruses may become a possibility.",0.40174985
