,pmid,abstract,predictions
118,25132727,"The current study analyzed mothers' conversations with preschoolers (N=175; 52% female; M age = 52 months, SD = 7 months) about peer conflicts involving relational aggression.",0.48139906
123,25134025,Research on relational aggression (indirect and social means of inflicting harm) has previously focused on adolescent populations.,0.481228
124,25134025,"Further, this study examines whether positive urgency (e.g., acting impulsively in response to positive emotions) and negative urgency (e.g., acting impulsively in response to negative emotions) moderate the relationship between relational aggression and alcohol outcomes.",0.45201436
132,25363638,"This finding remained significant even when controlling for common predictors of relational aggression including gender, overt aggression, prosocial behavior, victimization, social preference, and perceived popularity.",0.47028482
133,25363638,"Applying resource control theory and social exchange theory, we examined the social network conditions under which elementary age children were likely to engage in relational aggression.",0.46862146
138,25375971,BACKGROUND: Does poor language ability in early childhood increase the likelihood of physical aggression or is language ability delayed by frequent physical aggression?,0.46518803
139,25375971,"METHODS: Children enrolled in the Quebec Longitudinal Study of Child Development (QLSCD) (N = 2, 057) were assessed longitudinally from 17 to 72 months via parent reports and standardized assessments.",0.45153874
145,26146468,"Thus, educators should work to encourage social influence in more prosocial ways amongst aggressive preschoolers.",0.46261707
146,26146468,This paper examined how engagement in preschool physical and relational aggression predicted psychosocial adjustment during the kindergarten school year.,0.45087808
153,26595354,"Conversely, in the current study, I examined longitudinal associations between viewing relational aggression on TV and subsequent aggressive behavior.",0.48475078
154,26595354,Results revealed that viewing relational aggression on TV was longitudinally associated with future relational aggression.,0.4694946
161,26749211,"42:441-454, 2016.",0.49237147
162,26749211,Behav.,0.4920655
177,26883026,We extend past research on gender differences in the use of aggression by expanding the gender dichotomy and allowing for more variations in an individual's gender identity.,0.46626833
178,26883026,Peers reported which classmates were relationally and physically aggressive.,0.46349442
184,26918429,The sample consisted of 620 randomly selected sixth graders.,0.48135296
185,26918429,There was substantial overlap of the perpetration and victimization trajectories.,0.48069220000000007
197,28070756,"Gender, age and socioeconomic status were controlled for in the analyses.",0.47301558
198,28070756,"A direct longitudinal link from corporal punishment to physical aggression was found, however, the inverse association was not significant.",0.46893102
209,28377733,Parents were asked to complete two questionnaires focused on individual family characteristics and parenting styles.,0.4963242
210,28377733,This work examines whether daycare center attendance may moderate the relationships between a mother authoritarian style and physical aggression.,0.48878068
217,28529439,The current study examined relational aggression as a potential mechanism that explains the association between off-time pubertal development and internalizing problems in youth.,0.46733937
218,28529439,Youth gender was also examined as a moderator for the association between these variables.,0.46339890000000006
226,28646480,"Theoretical perspectives concerning evolutionary, social, and social-cognitive mechanisms suggest that male-typical play behavior during childhood increases subsequent physical aggression.",0.48629633
227,28646480,The association between gender-typed play behavior and physical aggression was not moderated by sex.,0.46943370000000006
235,28782091,"Cumulative risk (e.g., maternal psychiatric disorder, substance (ab)use, and social adversity) was assessed during pregnancy.",0.4673241
236,28782091,This study examined whether the PNS and SNS moderate the relation between cumulative prenatal risk and early physical aggression in 124 children (57% male).,0.45998093
245,29173104,Mediation analyses suggest that attachment behaviors may be a mechanism through which relational aggression influences sexual satisfaction.,0.47351715
246,29173104,"Results showed the greater the perceived relational aggression, the lower the sexual satisfaction for both self and partner, regardless of gender.",0.47071022
250,29544393,Intimate partner violence (IPV) is identified as a human rights abuse which happens everywhere regardless of the society and culture.,0.45463976
251,29544393,"For females, psychological aggression victimization and physical aggression perpetration were significant predictors of physical aggression victimization, and physical aggression victimization and psychological aggression perpetration were significant predictors of physical aggression perpetration.",0.45351540000000007
258,29922871,Data were collected separately from each sibling during home interviews.,0.4874808
259,29922871,"However, some of these effects were moderated by sibling dyad characteristics.",0.48115859999999994
266,30315722,These results held across gender and nativity status.,0.47307238
267,30315722,We discuss the practical implications for reducing relational aggression during adolescence.,0.4575619000000001
273,30710456,Results are discussed with reference to the General Aggression Model.,0.46942353
274,30710456,Participants were 197 adolescents who completed a number of questionnaires regarding media use and aggression.,0.46894880000000005
279,30905314,The current findings broaden the understanding of the predictors of aggressive behaviour among South African youth.,0.47984058
280,30905314,They emphasise that both general beliefs about aggression and specific beliefs about retaliation predict actual aggressive behaviour.,0.47907898
